1,ponles,1,ponles,poner+le,poner,VMM+PP,poner,p o ' n e 4 ,ponles,' p o n . l e s ,poner,p o ' n e 4 ,ponles,' p o n . l e s ,poner,po'ne4,ponles,'pon.les
2.3,ponlo,20,ponlo,poner+lo,poner,VMM+PP,poner,p o ' n e 4 ,ponlo,' p o n . l o ,poner,p o ' n e 4 ,ponlo,' p o n . l o ,poner,po'ne4,ponlo,'pon.lo
1,pónlo,1,pónlo,poner+lo,poner,VMM+PP,poner,p o ' n e 4 ,pónlo,' p o n . l o ,poner,p o ' n e 4 ,pónlo,' p o n . l o ,poner,po'ne4,pónlo,'pon.lo
1.7,ponlos,5,ponlos,poner+lo,poner,VMM+PP,poner,p o ' n e 4 ,ponlos,' p o n . l o s ,poner,p o ' n e 4 ,ponlos,' p o n . l o s ,poner,po'ne4,ponlos,'pon.los
1.85,ponme,7,ponme,poner+me,poner,VMM+PP,poner,p o ' n e 4 ,ponme,' p o m: e ,poner,p o ' n e 4 ,ponme,' p o m: e ,poner,po'ne4,ponme,'pom:e
1.3,pónmela,2,pónmela,poner+me+lo,poner,VMM+PP+PP,poner,p o ' n e 4 ,pónmela,' p o m: e . l a ,poner,p o ' n e 4 ,pónmela,' p o m: e . l a ,poner,po'ne4,pónmela,'pom:e.la
1.48,pónmelo,3,pónmelo,poner+me+lo,poner,VMM+PP+PP,poner,p o ' n e 4 ,pónmelo,' p o m: e . l o ,poner,p o ' n e 4 ,pónmelo,' p o m: e . l o ,poner,po'ne4,pónmelo,'pom:e.lo
1,pono,1,pono,pono,pono,NC,pono,' p o . n o ,pono,' p o . n o ,pono,' p o . n o ,pono,' p o . n o ,pono,'po.no,pono,'po.no
1,pónsela,1,pónsela,poner+se+lo,poner,VMM+PP+PP,poner,p o ' n e 4 ,pónsela,' p o n . s e . l a ,poner,p o ' n e 4 ,pónsela,' p o n . s e . l a ,poner,po'ne4,pónsela,'pon.se.la
1.6,ponte,4,ponte,poner+te,poner,VMM+PP,poner,p o ' n e 4 ,ponte,' p o n_d . t e ,poner,p o ' n e 4 ,ponte,' p o n . t e ,poner,po'ne4,ponte,'pon.te
1.48,popo,3,popo,popo,popo,NC,popo,' p o . p o ,popo,' p o . p o ,popo,' p o . p o ,popo,' p o . p o ,popo,'po.po,popo,'po.po
1.9,poquico,8,poquico,poquico,poquico,AQ,poquico,p o ' k i . k o ,poquico,p o ' k i . k o ,poquico,p o ' k i . k o ,poquico,p o ' k i . k o ,poquico,po'ki.ko,poquico,po'ki.ko
1,poquita,1,poquita,poco,poco,DI,poco,' p o . k o ,poquita,p o ' k i . t a ,poco,' p o . k o ,poquita,p o ' k i . t a ,poco,'po.ko,poquita,po'ki.ta
1,poquitas,1,poquitas,poco,poco,DI,poco,' p o . k o ,poquitas,p o ' k i . t a s ,poco,' p o . k o ,poquitas,p o ' k i . t a s ,poco,'po.ko,poquitas,po'ki.tas
1,poquitín,1,poquitín,poquitín,poquitín,NC,poquitín,p o . k i ' t i n ,poquitín,p o . k i ' t i n ,poquitín,p o . k i ' t i n ,poquitín,p o . k i ' t i n ,poquitín,po.ki'tin,poquitín,po.ki'tin
1,poquitito,1,poquitito,poquitito,poquitito,NC,poquitito,p o . k i ' t i . t o ,poquitito,p o . k i ' t i . t o ,poquitito,p o . k i ' t i . t o ,poquitito,p o . k i ' t i . t o ,poquitito,po.ki'ti.to,poquitito,po.ki'ti.to
2.6,poquito,40,poquito,poco,poco,DI,poco,' p o . k o ,poquito,p o ' k i . t o ,poco,' p o . k o ,poquito,p o ' k i . t o ,poco,'po.ko,poquito,po'ki.to
1.3,poquitos,2,poquitos,poco,poco,DI,poco,' p o . k o ,poquitos,p o ' k i . t o s ,poco,' p o . k o ,poquitos,p o ' k i . t o s ,poco,'po.ko,poquitos,po'ki.tos
3.91,por,819,por,por,por,SP,por,p o 4 ,por,p o 4 ,por,' p o 4 ,por,' p o 4 ,por,'po4,por,'po4
1,porcelana,1,porcelana,porcelana,porcelana,NC,porcelana,p o 4 . T e ' l a . n a ,porcelana,p o 4 . T e ' l a . n a ,porcelana,p o 4 . T e ' l a . n a ,porcelana,p o 4 . T e ' l a . n a ,porcelana,po4.Te'la.na,porcelana,po4.Te'la.na
4.13,porque,1355,porque,porque,porque,CS,porque,' p o 4 . k e ,porque,' p o 4 . k e ,porque,' p o 4 . k e ,porque,' p o 4 . k e ,porque,'po4.ke,porque,'po4.ke
3.47,porqué,296,porqué,porqué,porqué,NC,porqué,p o 4 ' k e ,porqué,p o 4 ' k e ,porqué,p o 4 ' k e ,porqué,p o 4 ' k e ,porqué,po4'ke,porqué,po4'ke
1.6,porrazo,4,porrazo,porrazo,porrazo,NC,porrazo,p o ' r a . T o ,porrazo,p o ' r a . T o ,porrazo,p o ' r a . T o ,porrazo,p o ' r a . T o ,porrazo,po'ra.To,porrazo,po'ra.To
1.3,porta,2,porta,porta,porta,NC,porta,' p o 4 . t a ,porta,' p o 4 . t a ,porta,' p o 4 . t a ,porta,' p o 4 . t a ,porta,'po4.ta,porta,'po4.ta
1,portaban,1,portaban,portar,portar,VMI,portar,p o 4 ' t a 4 ,portaban,p o 4 ' t a . B_o a n ,portar,p o 4 ' t a 4 ,portaban,p o 4 ' t a . b a n ,portar,po4'ta4,portaban,po4'ta.ban
2.2,portado,16,portado,portar,portar,VMP,portar,p o 4 ' t a 4 ,portado,p o 4 ' t a . D_o o ,portar,p o 4 ' t a 4 ,portado,p o 4 ' t a . d o ,portar,po4'ta4,portado,po4'ta.do
1.85,portal,7,portal,portal,portal,NC,portal,p o 4 ' t a l ,portal,p o 4 ' t a l ,portal,p o 4 ' t a l ,portal,p o 4 ' t a l ,portal,po4'tal,portal,po4'tal
1.78,portan,6,portan,portar,portar,VMI,portar,p o 4 ' t a 4 ,portan,' p o 4 . t a n ,portar,p o 4 ' t a 4 ,portan,' p o 4 . t a n ,portar,po4'ta4,portan,'po4.tan
1.48,portar,3,portar,portar,portar,VMN,portar,p o 4 ' t a 4 ,portar,p o 4 ' t a 4 ,portar,p o 4 ' t a 4 ,portar,p o 4 ' t a 4 ,portar,po4'ta4,portar,po4'ta4
1,portaros,1,portaros,portar+os,portar,VMN+PP,portar,p o 4 ' t a 4 ,portaros,p o 4 ' t a . 4 o s ,portar,p o 4 ' t a 4 ,portaros,p o 4 ' t a . 4 o s ,portar,po4'ta4,portaros,po4'ta.4os
1,portarse,1,portarse,portar+se,portar,VMN+PP,portar,p o 4 ' t a 4 ,portarse,p o 4 ' t a 4 . s e ,portar,p o 4 ' t a 4 ,portarse,p o 4 ' t a 4 . s e ,portar,po4'ta4,portarse,po4'ta4.se
1.6,portería,4,portería,portería,portería,NC,portería,p o 4 . t e ' 4 i a ,portería,p o 4 . t e ' 4 i a ,portería,p o 4 . t e ' 4 i a ,portería,p o 4 . t e ' 4 i a ,portería,po4.te'4ia,portería,po4.te'4ia
1,portes,1,portes,porte,porte,NC,porte,' p o 4 . t e ,portes,' p o 4 . t e s ,porte,' p o 4 . t e ,portes,' p o 4 . t e s ,porte,'po4.te,portes,'po4.tes
1,poste,1,poste,poste,poste,NC,poste,' p o s . t e ,poste,' p o s . t e ,poste,' p o s . t e ,poste,' p o s . t e ,poste,'pos.te,poste,'pos.te
2.23,postre,17,postre,postre,postre,NC,postre,' p o s . t 4 e ,postre,' p o s . t 4 e ,postre,' p o s . t 4 e ,postre,' p o s . t 4 e ,postre,'pos.t4e,postre,'pos.t4e
1,postres,1,postres,postre,postre,AQ,postre,' p o s . t 4 e ,postres,' p o s . t 4 e s ,postre,' p o s . t 4 e ,postres,' p o s . t 4 e s ,postre,'pos.t4e,postres,'pos.t4es
1,Potajita,1,potajita,potajita,potajita,NP,potajita,p o . t a ' x i . t a ,Potajita,p o . t a ' x i . t a ,potajita,p o . t a ' x i . t a ,Potajita,p o . t a ' x i . t a ,potajita,po.ta'xi.ta,Potajita,po.ta'xi.ta
1.3,potro,2,potro,potro,potro,NC,potro,' p o . t 4 o ,potro,' p o . t 4 o ,potro,' p o . t 4 o ,potro,' p o . t 4 o ,potro,'po.t4o,potro,'po.t4o
1,Power,1,power,power,power,NP,power,p o ' w e 4 ,Power,p o ' w e 4 ,power,p o ' w e 4 ,Power,p o ' w e 4 ,power,po'we4,Power,po'we4
1,precioso,1,precioso,precioso,precioso,AQ,precioso,p 4 e ' T j o . s o ,precioso,p 4 e ' T j o . s o ,precioso,p 4 e ' T j o . s o ,precioso,p 4 e ' T j o . s o ,precioso,p4e'Tjo.so,precioso,p4e'Tjo.so
1.6,pregunta,4,pregunta,pregunta,pregunta,NC,pregunta,p 4 e ' G_o u n_d . t a ,pregunta,p 4 e ' G_o u n_d . t a ,pregunta,p 4 e ' g u n . t a ,pregunta,p 4 e ' g u n . t a ,pregunta,p4e'gun.ta,pregunta,p4e'gun.ta
1,preguntaba,1,preguntaba,preguntar,preguntar,VMI,preguntar,p 4 e . G_o u n_d ' t a 4 ,preguntaba,p 4 e . G_o u n_d ' t a . B_o a ,preguntar,p 4 e . g u n ' t a 4 ,preguntaba,p 4 e . g u n ' t a . b a ,preguntar,p4e.gun'ta4,preguntaba,p4e.gun'ta.ba
1.3,pregúntale,2,pregúntale,preguntar+le,preguntar,VMM+PP,preguntar,p 4 e . G_o u n_d ' t a 4 ,pregúntale,p 4 e ' G_o u n_d . t a . l e ,preguntar,p 4 e . g u n ' t a 4 ,pregúntale,p 4 e ' g u n . t a . l e ,preguntar,p4e.gun'ta4,pregúntale,p4e'gun.ta.le
1,preguntar,1,preguntar,preguntar,preguntar,VMN,preguntar,p 4 e . G_o u n_d ' t a 4 ,preguntar,p 4 e . G_o u n_d ' t a 4 ,preguntar,p 4 e . g u n ' t a 4 ,preguntar,p 4 e . g u n ' t a 4 ,preguntar,p4e.gun'ta4,preguntar,p4e.gun'ta4
1,preguntarle,1,preguntarle,preguntar+le,preguntar,VMN+PP,preguntar,p 4 e . G_o u n_d ' t a 4 ,preguntarle,p 4 e . G_o u n_d ' t a 4 l e ,preguntar,p 4 e . g u n ' t a 4 ,preguntarle,p 4 e . g u n ' t a 4 l e ,preguntar,p4e.gun'ta4,preguntarle,p4e.gun'ta4le
1.3,preguntas,2,preguntas,pregunta,pregunta,NC,pregunta,p 4 e ' G_o u n_d . t a ,preguntas,p 4 e ' G_o u n_d . t a s ,pregunta,p 4 e ' g u n . t a ,preguntas,p 4 e ' g u n . t a s ,pregunta,p4e'gun.ta,preguntas,p4e'gun.tas
1,preguntes,1,preguntes,preguntar,preguntar,VMS,preguntar,p 4 e . G_o u n_d ' t a 4 ,preguntes,p 4 e ' G_o u n_d . t e s ,preguntar,p 4 e . g u n ' t a 4 ,preguntes,p 4 e ' g u n . t e s ,preguntar,p4e.gun'ta4,preguntes,p4e'gun.tes
1.3,pregunto,2,pregunto,preguntar,preguntar,VMI,preguntar,p 4 e . G_o u n_d ' t a 4 ,pregunto,p 4 e ' G_o u n_d . t o ,preguntar,p 4 e . g u n ' t a 4 ,pregunto,p 4 e ' g u n . t o ,preguntar,p4e.gun'ta4,pregunto,p4e'gun.to
1,prehistórica,1,prehistórica,prehistórico,prehistórico,AQ,prehistórico,p 4 e i_^ s ' t o . 4 i . k o ,prehistórica,p 4 e i_^ s ' t o . 4 i . k a ,prehistórico,p 4 e i s ' t o . 4 i . k o ,prehistórica,p 4 e i s ' t o . 4 i . k a ,prehistórico,p4eis'to.4i.ko,prehistórica,p4eis'to.4i.ka
1.3,preocupes,2,preocupes,preocupar,preocupar,VMS,preocupar,p 4 e . o . k u ' p a 4 ,preocupes,p 4 e . o ' k u . p e s ,preocupar,p 4 e . o . k u ' p a 4 ,preocupes,p 4 e . o ' k u . p e s ,preocupar,p4e.o.ku'pa4,preocupes,p4e.o'ku.pes
1.7,prepara,5,prepara,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,prepara,p 4 e ' p a . 4 a ,preparar,p 4 e . p a ' 4 a 4 ,prepara,p 4 e ' p a . 4 a ,preparar,p4e.pa'4a4,prepara,p4e'pa.4a
1,preparaba,1,preparaba,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,preparaba,p 4 e . p a ' 4 a . B_o a ,preparar,p 4 e . p a ' 4 a 4 ,preparaba,p 4 e . p a ' 4 a . b a ,preparar,p4e.pa'4a4,preparaba,p4e.pa'4a.ba
2.11,preparado,13,preparado,preparar,preparar,VMP,preparar,p 4 e . p a ' 4 a 4 ,preparado,p 4 e . p a ' 4 a . D_o o ,preparar,p 4 e . p a ' 4 a 4 ,preparado,p 4 e . p a ' 4 a . d o ,preparar,p4e.pa'4a4,preparado,p4e.pa'4a.do
1.85,preparados,7,preparados,preparar,preparar,VMP,preparar,p 4 e . p a ' 4 a 4 ,preparados,p 4 e . p a ' 4 a . D_o o s ,preparar,p 4 e . p a ' 4 a 4 ,preparados,p 4 e . p a ' 4 a . d o s ,preparar,p4e.pa'4a4,preparados,p4e.pa'4a.dos
1.6,preparamos,4,preparamos,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,preparamos,p 4 e . p a ' 4 a . m o s ,preparar,p 4 e . p a ' 4 a 4 ,preparamos,p 4 e . p a ' 4 a . m o s ,preparar,p4e.pa'4a4,preparamos,p4e.pa'4a.mos
1,preparan,1,preparan,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,preparan,p 4 e ' p a . 4 a n ,preparar,p 4 e . p a ' 4 a 4 ,preparan,p 4 e ' p a . 4 a n ,preparar,p4e.pa'4a4,preparan,p4e'pa.4an
1.78,preparando,6,preparando,preparar,preparar,VMG,preparar,p 4 e . p a ' 4 a 4 ,preparando,p 4 e . p a ' 4 a n_d . d o ,preparar,p 4 e . p a ' 4 a 4 ,preparando,p 4 e . p a ' 4 a n . d o ,preparar,p4e.pa'4a4,preparando,p4e.pa'4an.do
2.18,preparar,15,preparar,preparar,preparar,VMN,preparar,p 4 e . p a ' 4 a 4 ,preparar,p 4 e . p a ' 4 a 4 ,preparar,p 4 e . p a ' 4 a 4 ,preparar,p 4 e . p a ' 4 a 4 ,preparar,p4e.pa'4a4,preparar,p4e.pa'4a4
1,prepararé,1,prepararé,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,prepararé,p 4 e . p a . 4 a ' 4 e ,preparar,p 4 e . p a ' 4 a 4 ,prepararé,p 4 e . p a . 4 a ' 4 e ,preparar,p4e.pa'4a4,prepararé,p4e.pa.4a'4e
1,prepararla,1,prepararla,preparar+lo,preparar,VMN+PP,preparar,p 4 e . p a ' 4 a 4 ,prepararla,p 4 e . p a ' 4 a 4 l a ,preparar,p 4 e . p a ' 4 a 4 ,prepararla,p 4 e . p a ' 4 a 4 l a ,preparar,p4e.pa'4a4,prepararla,p4e.pa'4a4la
1,prepararle,1,prepararle,preparar+le,preparar,VMN+PP,preparar,p 4 e . p a ' 4 a 4 ,prepararle,p 4 e . p a ' 4 a 4 l e ,preparar,p 4 e . p a ' 4 a 4 ,prepararle,p 4 e . p a ' 4 a 4 l e ,preparar,p4e.pa'4a4,prepararle,p4e.pa'4a4le
1.6,preparo,4,preparo,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,preparo,p 4 e ' p a . 4 o ,preparar,p 4 e . p a ' 4 a 4 ,preparo,p 4 e ' p a . 4 o ,preparar,p4e.pa'4a4,preparo,p4e'pa.4o
1,preparó,1,preparó,preparar,preparar,VMI,preparar,p 4 e . p a ' 4 a 4 ,preparó,p 4 e . p a ' 4 o ,preparar,p 4 e . p a ' 4 a 4 ,preparó,p 4 e . p a ' 4 o ,preparar,p4e.pa'4a4,preparó,p4e.pa'4o
1.7,prima,5,prima,prima,prima,NC,prima,' p 4 i . m a ,prima,' p 4 i . m a ,prima,' p 4 i . m a ,prima,' p 4 i . m a ,prima,'p4i.ma,prima,'p4i.ma
1,primavera,1,primavera,primavera,primavera,NC,primavera,p 4 i . m a ' B_o e . 4 a ,primavera,p 4 i . m a ' B_o e . 4 a ,primavera,p 4 i . m a ' b e . 4 a ,primavera,p 4 i . m a ' b e . 4 a ,primavera,p4i.ma'be.4a,primavera,p4i.ma'be.4a
1.85,primera,7,primera,primero,primero,AO,primero,p 4 i ' m e . 4 o ,primera,p 4 i ' m e . 4 a ,primero,p 4 i ' m e . 4 o ,primera,p 4 i ' m e . 4 a ,primero,p4i'me.4o,primera,p4i'me.4a
3.04,primero,110,primero,primero,primero,AO,primero,p 4 i ' m e . 4 o ,primero,p 4 i ' m e . 4 o ,primero,p 4 i ' m e . 4 o ,primero,p 4 i ' m e . 4 o ,primero,p4i'me.4o,primero,p4i'me.4o
2.11,primo,13,primo,primo,primo,NC,primo,' p 4 i . m o ,primo,' p 4 i . m o ,primo,' p 4 i . m o ,primo,' p 4 i . m o ,primo,'p4i.mo,primo,'p4i.mo
1.78,primos,6,primos,primo,primo,AQ,primo,' p 4 i . m o ,primos,' p 4 i . m o s ,primo,' p 4 i . m o ,primos,' p 4 i . m o s ,primo,'p4i.mo,primos,'p4i.mos
1,princesa,1,princesa,princesa,princesa,NC,princesa,p 4 i n_d_+ ' T e . s a ,princesa,p 4 i n_d_+ ' T e . s a ,princesa,p 4 i n ' T e . s a ,princesa,p 4 i n ' T e . s a ,princesa,p4in'Te.sa,princesa,p4in'Te.sa
1,principio,1,principio,principio,principio,NC,principio,p 4 i n_d_+ ' T i . p j o ,principio,p 4 i n_d_+ ' T i . p j o ,principio,p 4 i n ' T i . p j o ,principio,p 4 i n ' T i . p j o ,principio,p4in'Ti.pjo,principio,p4in'Ti.pjo
1.48,prisa,3,prisa,prisa,prisa,NC,prisa,' p 4 i . s a ,prisa,' p 4 i . s a ,prisa,' p 4 i . s a ,prisa,' p 4 i . s a ,prisa,'p4i.sa,prisa,'p4i.sa
1.3,probamos,2,probamos,probar,probar,VMI,probar,p 4 o ' B_o a 4 ,probamos,p 4 o ' B_o a . m o s ,probar,p 4 o ' b a 4 ,probamos,p 4 o ' b a . m o s ,probar,p4o'ba4,probamos,p4o'ba.mos
1,problema,1,problema,problema,problema,NC,problema,p 4 o ' B_o l e . m a ,problema,p 4 o ' B_o l e . m a ,problema,p 4 o ' b l e . m a ,problema,p 4 o ' b l e . m a ,problema,p4o'ble.ma,problema,p4o'ble.ma
1.48,profesor,3,profesor,profesor,profesor,NC,profesor,p 4 o . f e ' s o 4 ,profesor,p 4 o . f e ' s o 4 ,profesor,p 4 o . f e ' s o 4 ,profesor,p 4 o . f e ' s o 4 ,profesor,p4o.fe'so4,profesor,p4o.fe'so4
1.6,profesora,4,profesora,profesor,profesor,NC,profesor,p 4 o . f e ' s o 4 ,profesora,p 4 o . f e ' s o . 4 a ,profesor,p 4 o . f e ' s o 4 ,profesora,p 4 o . f e ' s o . 4 a ,profesor,p4o.fe'so4,profesora,p4o.fe'so.4a
1.7,pronto,5,pronto,pronto,pronto,RG,pronto,' p 4 o n_d . t o ,pronto,' p 4 o n_d . t o ,pronto,' p 4 o n . t o ,pronto,' p 4 o n . t o ,pronto,'p4on.to,pronto,'p4on.to
1.48,puchero,3,puchero,puchero,puchero,NC,puchero,p u ' tS e . 4 o ,puchero,p u ' tS e . 4 o ,puchero,p u ' C e . 4 o ,puchero,p u ' C e . 4 o ,puchero,pu'Ce.4o,puchero,pu'Ce.4o
1,pudo,1,pudo,poder,poder,VMI,poder,p o ' D_o e 4 ,pudo,' p u . D_o o ,poder,p o ' d e 4 ,pudo,' p u . d o ,poder,po'de4,pudo,'pu.do
1.6,pueda,4,pueda,poder,poder,VMS,poder,p o ' D_o e 4 ,pueda,' p w e . D_o a ,poder,p o ' d e 4 ,pueda,' p w e . d a ,poder,po'de4,pueda,'pwe.da
1,puedan,1,puedan,poder,poder,VMS,poder,p o ' D_o e 4 ,puedan,' p w e . D_o a n ,poder,p o ' d e 4 ,puedan,' p w e . d a n ,poder,po'de4,puedan,'pwe.dan
3.52,puede,334,puede,poder,poder,VMI,poder,p o ' D_o e 4 ,puede,' p w e . D_o e ,poder,p o ' d e 4 ,puede,' p w e . d e ,poder,po'de4,puede,'pwe.de
2.65,pueden,45,pueden,poder,poder,VMI,poder,p o ' D_o e 4 ,pueden,' p w e . D_o e n ,poder,p o ' d e 4 ,pueden,' p w e . d e n ,poder,po'de4,pueden,'pwe.den
2.7,puedes,50,puedes,poder,poder,VMI,poder,p o ' D_o e 4 ,puedes,' p w e . D_o e s ,poder,p o ' d e 4 ,puedes,' p w e . d e s ,poder,po'de4,puedes,'pwe.des
3.32,puedo,209,puedo,poder,poder,VMI,poder,p o ' D_o e 4 ,puedo,' p w e . D_o o ,poder,p o ' d e 4 ,puedo,' p w e . d o ,poder,po'de4,puedo,'pwe.do
3.56,puerta,363,puerta,puerta,puerta,NC,puerta,' p w e 4 . t a ,puerta,' p w e 4 . t a ,puerta,' p w e 4 . t a ,puerta,' p w e 4 . t a ,puerta,'pwe4.ta,puerta,'pwe4.ta
1.85,puertas,7,puertas,puerta,puerta,NC,puerta,' p w e 4 . t a ,puertas,' p w e 4 . t a s ,puerta,' p w e 4 . t a ,puertas,' p w e 4 . t a s ,puerta,'pwe4.ta,puertas,'pwe4.tas
2.15,puertita,14,puertita,puerta,puerta,NC,puerta,' p w e 4 . t a ,puertita,p w e 4 ' t i . t a ,puerta,' p w e 4 . t a ,puertita,p w e 4 ' t i . t a ,puerta,'pwe4.ta,puertita,pwe4'ti.ta
1.3,puerto,2,puerto,puerto,puerto,NC,puerto,' p w e 4 . t o ,puerto,' p w e 4 . t o ,puerto,' p w e 4 . t o ,puerto,' p w e 4 . t o ,puerto,'pwe4.to,puerto,'pwe4.to
4.08,pues,1213,pues,pues,pues,CS,pues,' p w e s ,pues,' p w e s ,pues,' p w e s ,pues,' p w e s ,pues,'pwes,pues,'pwes
1.48,puesta,3,puesta,poner,poner,VMP,poner,p o ' n e 4 ,puesta,' p w e s . t a ,poner,p o ' n e 4 ,puesta,' p w e s . t a ,poner,po'ne4,puesta,'pwes.ta
1,puestas,1,puestas,puesta,puesta,NC,puesta,' p w e s . t a ,puestas,' p w e s . t a s ,puesta,' p w e s . t a ,puestas,' p w e s . t a s ,puesta,'pwes.ta,puestas,'pwes.tas
2.76,puesto,57,puesto,puesto,puesto,NC,puesto,' p w e s . t o ,puesto,' p w e s . t o ,puesto,' p w e s . t o ,puesto,' p w e s . t o ,puesto,'pwes.to,puesto,'pwes.to
1,puestos,1,puestos,puesto,puesto,NC,puesto,' p w e s . t o ,puestos,' p w e s . t o s ,puesto,' p w e s . t o ,puestos,' p w e s . t o s ,puesto,'pwes.to,puestos,'pwes.tos
1,Pulgarcito,1,pulgarcito,pulgar,pulgar,NC,pulgar,p u l ' G_o a 4 ,Pulgarcito,p u l . G_o a 4 ' T i . t o ,pulgar,p u l ' g a 4 ,Pulgarcito,p u l . g a 4 ' T i . t o ,pulgar,pul'ga4,Pulgarcito,pul.ga4'Ti.to
1,pulgas,1,pulgas,pulga,pulga,NC,pulga,' p u l . G_o a ,pulgas,' p u l . G_o a s ,pulga,' p u l . g a ,pulgas,' p u l . g a s ,pulga,'pul.ga,pulgas,'pul.gas
1,pulgón,1,pulgón,pulgón,pulgón,NC,pulgón,p u l ' G_o o n ,pulgón,p u l ' G_o o n ,pulgón,p u l ' g o n ,pulgón,p u l ' g o n ,pulgón,pul'gon,pulgón,pul'gon
1.3,pulpo,2,pulpo,pulpo,pulpo,NC,pulpo,' p u l . p o ,pulpo,' p u l . p o ,pulpo,' p u l . p o ,pulpo,' p u l . p o ,pulpo,'pul.po,pulpo,'pul.po
1.48,pulsaba,3,pulsaba,pulsar,pulsar,VMI,pulsar,p u l ' s a 4 ,pulsaba,p u l ' s a . B_o a ,pulsar,p u l ' s a 4 ,pulsaba,p u l ' s a . b a ,pulsar,pul'sa4,pulsaba,pul'sa.ba
1,pulsan,1,pulsan,pulsar,pulsar,VMI,pulsar,p u l ' s a 4 ,pulsan,' p u l . s a n ,pulsar,p u l ' s a 4 ,pulsan,' p u l . s a n ,pulsar,pul'sa4,pulsan,'pul.san
1,pulsar,1,pulsar,pulsar,pulsar,VMN,pulsar,p u l ' s a 4 ,pulsar,p u l ' s a 4 ,pulsar,p u l ' s a 4 ,pulsar,p u l ' s a 4 ,pulsar,pul'sa4,pulsar,pul'sa4
1.3,pulso,2,pulso,pulso,pulso,NC,pulso,' p u l . s o ,pulso,' p u l . s o ,pulso,' p u l . s o ,pulso,' p u l . s o ,pulso,'pul.so,pulso,'pul.so
1,pum,1,pum,pum,pum,NC,pum,' p u n ,pum,' p u n ,pum,' p u n ,pum,' p u n ,pum,'pun,pum,'pun
1.3,puñetero,2,puñetero,puñetero,puñetero,AQ,puñetero,p u . J e ' t e . 4 o ,puñetero,p u . J e ' t e . 4 o ,puñetero,p u . J e ' t e . 4 o ,puñetero,p u . J e ' t e . 4 o ,puñetero,pu.Je'te.4o,puñetero,pu.Je'te.4o
1,punta,1,punta,punta,punta,NC,punta,' p u n_d . t a ,punta,' p u n_d . t a ,punta,' p u n . t a ,punta,' p u n . t a ,punta,'pun.ta,punta,'pun.ta
1,puntillas,1,puntillas,puntilla,puntilla,NC,puntilla,p u n_d ' t i . j\\ a ,puntillas,p u n_d ' t i . j\\ a s ,puntilla,p u n ' t i . L a ,puntillas,p u n ' t i . L a s ,puntilla,pun'ti.La,puntillas,pun'ti.Las
1,puntitos,1,puntitos,puntito,puntito,NC,puntito,p u n_d ' t i . t o ,puntitos,p u n_d ' t i . t o s ,puntito,p u n ' t i . t o ,puntitos,p u n ' t i . t o s ,puntito,pun'ti.to,puntitos,pun'ti.tos
1.48,punto,3,punto,punto,punto,NC,punto,' p u n_d . t o ,punto,' p u n_d . t o ,punto,' p u n . t o ,punto,' p u n . t o ,punto,'pun.to,punto,'pun.to
2.56,puré,36,puré,puré,puré,NC,puré,p u ' 4 e ,puré,p u ' 4 e ,puré,p u ' 4 e ,puré,p u ' 4 e ,puré,pu'4e,puré,pu'4e
1,Pusbe,1,pusbe,pusbe,pusbe,NP,pusbe,' p u z . B_o e ,Pusbe,' p u z . B_o e ,pusbe,' p u z . b e ,Pusbe,' p u z . b e ,pusbe,'puz.be,Pusbe,'puz.be
1,Pusbi,1,pusbi,pusbi,pusbi,NP,pusbi,' p u z . B_o i ,Pusbi,' p u z . B_o i ,pusbi,' p u z . b i ,Pusbi,' p u z . b i ,pusbi,'puz.bi,Pusbi,'puz.bi
1,Pusfan,1,pusfan,pusfan,pusfan,NP,pusfan,' p u s . f a n ,Pusfan,' p u s . f a n ,pusfan,' p u s . f a n ,Pusfan,' p u s . f a n ,pusfan,'pus.fan,Pusfan,'pus.fan
1.95,pusieron,9,pusieron,poner,poner,VMI,poner,p o ' n e 4 ,pusieron,p u ' s j e . 4 o n ,poner,p o ' n e 4 ,pusieron,p u ' s j e . 4 o n ,poner,po'ne4,pusieron,pu'sje.4on
1,pusiese,1,pusiese,poner,poner,VMS,poner,p o ' n e 4 ,pusiese,p u ' s j e . s e ,poner,p o ' n e 4 ,pusiese,p u ' s j e . s e ,poner,po'ne4,pusiese,pu'sje.se
1.48,pusimos,3,pusimos,poner,poner,VMI,poner,p o ' n e 4 ,pusimos,p u ' s i . m o s ,poner,p o ' n e 4 ,pusimos,p u ' s i . m o s ,poner,po'ne4,pusimos,pu'si.mos
1.48,puso,3,puso,poner,poner,VMI,poner,p o ' n e 4 ,puso,' p u . s o ,poner,p o ' n e 4 ,puso,' p u . s o ,poner,po'ne4,puso,'pu.so
1.78,puzzle,6,puzzle,puzzle,puzzle,NC,puzzle,' p u T l e ,puzzle,' p u T l e ,puzzle,' p u T l e ,puzzle,' p u T l e ,puzzle,'puTle,puzzle,'puTle
