5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
3.53,tienen,341,tienen,tener,tener,VMI,tener,t e ' n e 4 ,tienen,' t j e . n ~e n ,tener,t e ' n e 4 ,tienen,' t j e . n e n ,tener,te'ne4,tienen,'tje.nen
3.77,tienes,583,tienes,tener,tener,VMI,tener,t e ' n e 4 ,tienes,' t j e . n e s ,tener,t e ' n e 4 ,tienes,' t j e . n e s ,tener,te'ne4,tienes,'tje.nes
1.78,tierra,6,tierra,tierra,tierra,NC,tierra,' t j e . r a ,tierra,' t j e . r a ,tierra,' t j e . r a ,tierra,' t j e . r a ,tierra,'tje.ra,tierra,'tje.ra
1,tiesa,1,tiesa,tieso,tieso,AQ,tieso,' t j e . s o ,tiesa,' t j e . s a ,tieso,' t j e . s o ,tiesa,' t j e . s a ,tieso,'tje.so,tiesa,'tje.sa
1.48,tieso,3,tieso,tieso,tieso,AQ,tieso,' t j e . s o ,tieso,' t j e . s o ,tieso,' t j e . s o ,tieso,' t j e . s o ,tieso,'tje.so,tieso,'tje.so
1.3,tiesto,2,tiesto,tiesto,tiesto,NC,tiesto,' t j e s . t o ,tiesto,' t j e s . t o ,tiesto,' t j e s . t o ,tiesto,' t j e s . t o ,tiesto,'tjes.to,tiesto,'tjes.to
1,tiestos,1,tiestos,tiesto,tiesto,NC,tiesto,' t j e s . t o ,tiestos,' t j e s . t o s ,tiesto,' t j e s . t o ,tiestos,' t j e s . t o s ,tiesto,'tjes.to,tiestos,'tjes.tos
1.3,tigre,2,tigre,tigre,tigre,NC,tigre,' t i . G_o 4 e ,tigre,' t i . G_o 4 e ,tigre,' t i . g 4 e ,tigre,' t i . g 4 e ,tigre,'ti.g4e,tigre,'ti.g4e
1.78,tiíta,6,tiíta,tiíta,tiíta,NC,tiíta,' t i i . t a ,tiíta,' t i i . t a ,tiíta,' t i i . t a ,tiíta,' t i i . t a ,tiíta,'tii.ta,tiíta,'tii.ta
1,timbra,1,timbra,timbrar,timbrar,VMI,timbrar,t i m ' b 4 a 4 ,timbra,' t i m . b 4 a ,timbrar,t i m ' b 4 a 4 ,timbra,' t i m . b 4 a ,timbrar,tim'b4a4,timbra,'tim.b4a
3.15,timbre,142,timbre,timbre,timbre,NC,timbre,' t i m . b 4 e ,timbre,' t i m . b 4 e ,timbre,' t i m . b 4 e ,timbre,' t i m . b 4 e ,timbre,'tim.b4e,timbre,'tim.b4e
1.7,timón,5,timón,timón,timón,NC,timón,t i ' m ~o n ,timón,t i ' m ~o n ,timón,t i ' m o n ,timón,t i ' m o n ,timón,ti'mon,timón,ti'mon
1.48,Tino,3,tino,tino,tino,NC,tino,' t i . n o ,Tino,' t i . n o ,tino,' t i . n o ,Tino,' t i . n o ,tino,'ti.no,Tino,'ti.no
2.54,tío,35,tío,tío,tío,NC,tío,' t i . o ,tío,' t i . o ,tío,' t i . o ,tío,' t i . o ,tío,'ti.o,tío,'ti.o
1,tíos,1,tíos,tío,tío,NC,tío,' t i . o ,tíos,' t i . o s ,tío,' t i . o ,tíos,' t i . o s ,tío,'ti.o,tíos,'ti.os
2.71,tira,51,tira,tira,tira,NC,tira,' t i . 4 a ,tira,' t i . 4 a ,tira,' t i . 4 a ,tira,' t i . 4 a ,tira,'ti.4a,tira,'ti.4a
1.7,tiraba,5,tiraba,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tiraba,t i ' 4 a . B_o a ,tirar,t i ' 4 a 4 ,tiraba,t i ' 4 a . b a ,tirar,ti'4a4,tiraba,ti'4a.ba
1.48,tirabas,3,tirabas,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tirabas,t i ' 4 a . B_o a s ,tirar,t i ' 4 a 4 ,tirabas,t i ' 4 a . b a s ,tirar,ti'4a4,tirabas,ti'4a.bas
1.7,tirada,5,tirada,tirada,tirada,NC,tirada,t i ' 4 a . D_o a ,tirada,t i ' 4 a . D_o a ,tirada,t i ' 4 a . d a ,tirada,t i ' 4 a . d a ,tirada,ti'4a.da,tirada,ti'4a.da
2.54,tirado,35,tirado,tirar,tirar,VMP,tirar,t i ' 4 a 4 ,tirado,t i ' 4 a . D_o o ,tirar,t i ' 4 a 4 ,tirado,t i ' 4 a . d o ,tirar,ti'4a4,tirado,ti'4a.do
1.6,tirados,4,tirados,tirar,tirar,VMP,tirar,t i ' 4 a 4 ,tirados,t i ' 4 a . D_o o s ,tirar,t i ' 4 a 4 ,tirados,t i ' 4 a . d o s ,tirar,ti'4a4,tirados,ti'4a.dos
1,tíralo,1,tíralo,tirar+lo,tirar,VMM+PP,tirar,t i ' 4 a 4 ,tíralo,' t i . 4 a . l o ,tirar,t i ' 4 a 4 ,tíralo,' t i . 4 a . l o ,tirar,ti'4a4,tíralo,'ti.4a.lo
1.3,tiramos,2,tiramos,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tiramos,t i ' 4 a . m o s ,tirar,t i ' 4 a 4 ,tiramos,t i ' 4 a . m o s ,tirar,ti'4a4,tiramos,ti'4a.mos
2.59,tiran,39,tiran,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tiran,' t i . 4 a n ,tirar,t i ' 4 a 4 ,tiran,' t i . 4 a n ,tirar,ti'4a4,tiran,'ti.4an
2.26,tirando,18,tirando,tirar,tirar,VMG,tirar,t i ' 4 a 4 ,tirando,t i ' 4 a n_d . d o ,tirar,t i ' 4 a 4 ,tirando,t i ' 4 a n . d o ,tirar,ti'4a4,tirando,ti'4an.do
1,tirándola,1,tirándola,tirar+lo,tirar,VMG+PP,tirar,t i ' 4 a 4 ,tirándola,t i ' 4 a n_d . d o . l a ,tirar,t i ' 4 a 4 ,tirándola,t i ' 4 a n . d o . l a ,tirar,ti'4a4,tirándola,ti'4an.do.la
1,tirándoos,1,tirándoos,tirar+os,tirar,VMG+PP,tirar,t i ' 4 a 4 ,tirándoos,t i ' 4 a n_d . d o . o s ,tirar,t i ' 4 a 4 ,tirándoos,t i ' 4 a n . d o . o s ,tirar,ti'4a4,tirándoos,ti'4an.do.os
1.6,tirándose,4,tirándose,tirar+se,tirar,VMG+PP,tirar,t i ' 4 a 4 ,tirándose,t i ' 4 a n_d . d o . s e ,tirar,t i ' 4 a 4 ,tirándose,t i ' 4 a n . d o . s e ,tirar,ti'4a4,tirándose,ti'4an.do.se
1,tirantes,1,tirantes,tirante,tirante,AQ,tirante,t i ' 4 a n_d . t e ,tirantes,t i ' 4 a n_d . t e s ,tirante,t i ' 4 a n . t e ,tirantes,t i ' 4 a n . t e s ,tirante,ti'4an.te,tirantes,ti'4an.tes
2.56,tirar,36,tirar,tirar,tirar,VMN,tirar,t i ' 4 a 4 ,tirar,t i ' 4 a 4 ,tirar,t i ' 4 a 4 ,tirar,t i ' 4 a 4 ,tirar,ti'4a4,tirar,ti'4a4
1,tirarán,1,tirarán,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tirarán,t i . 4 a ' 4 a n ,tirar,t i ' 4 a 4 ,tirarán,t i . 4 a ' 4 a n ,tirar,ti'4a4,tirarán,ti.4a'4an
1,tirarla,1,tirarla,tirar+lo,tirar,VMN+PP,tirar,t i ' 4 a 4 ,tirarla,t i ' 4 a 4 l a ,tirar,t i ' 4 a 4 ,tirarla,t i ' 4 a 4 l a ,tirar,ti'4a4,tirarla,ti'4a4la
1.3,tirarlos,2,tirarlos,tirar+lo,tirar,VMN+PP,tirar,t i ' 4 a 4 ,tirarlos,t i ' 4 a 4 l o s ,tirar,t i ' 4 a 4 ,tirarlos,t i ' 4 a 4 l o s ,tirar,ti'4a4,tirarlos,ti'4a4los
1,tirarnos,1,tirarnos,tirar+nos,tirar,VMN+PP,tirar,t i ' 4 a 4 ,tirarnos,t i ' 4 a 4 . n o s ,tirar,t i ' 4 a 4 ,tirarnos,t i ' 4 a 4 . n o s ,tirar,ti'4a4,tirarnos,ti'4a4.nos
1,tiraron,1,tiraron,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tiraron,t i ' 4 a . 4 o n ,tirar,t i ' 4 a 4 ,tiraron,t i ' 4 a . 4 o n ,tirar,ti'4a4,tiraron,ti'4a.4on
2.26,tirarse,18,tirarse,tirar+se,tirar,VMN+PP,tirar,t i ' 4 a 4 ,tirarse,t i ' 4 a 4 . s e ,tirar,t i ' 4 a 4 ,tirarse,t i ' 4 a 4 . s e ,tirar,ti'4a4,tirarse,ti'4a4.se
1,tirarte,1,tirarte,tirar+te,tirar,VMN+PP,tirar,t i ' 4 a 4 ,tirarte,t i ' 4 a 4 . t e ,tirar,t i ' 4 a 4 ,tirarte,t i ' 4 a 4 . t e ,tirar,ti'4a4,tirarte,ti'4a4.te
2.51,tiras,32,tiras,tira,tira,NC,tira,' t i . 4 a ,tiras,' t i . 4 a s ,tira,' t i . 4 a ,tiras,' t i . 4 a s ,tira,'ti.4a,tiras,'ti.4as
1,tiraste,1,tiraste,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tiraste,t i ' 4 a s . t e ,tirar,t i ' 4 a 4 ,tiraste,t i ' 4 a s . t e ,tirar,ti'4a4,tiraste,ti'4as.te
1,tire,1,tire,tirar,tirar,VMS,tirar,t i ' 4 a 4 ,tire,' t i . 4 e ,tirar,t i ' 4 a 4 ,tire,' t i . 4 e ,tirar,ti'4a4,tire,'ti.4e
1,tiréis,1,tiréis,tirar,tirar,VMS,tirar,t i ' 4 a 4 ,tiréis,t i ' 4 e i_^ s ,tirar,t i ' 4 a 4 ,tiréis,t i ' 4 e i s ,tirar,ti'4a4,tiréis,ti'4eis
1.48,tiren,3,tiren,tirar,tirar,VMS,tirar,t i ' 4 a 4 ,tiren,' t i . 4 e n ,tirar,t i ' 4 a 4 ,tiren,' t i . 4 e n ,tirar,ti'4a4,tiren,'ti.4en
2.11,tires,13,tires,tirar,tirar,VMS,tirar,t i ' 4 a 4 ,tires,' t i . 4 e s ,tirar,t i ' 4 a 4 ,tires,' t i . 4 e s ,tirar,ti'4a4,tires,'ti.4es
1,tirita,1,tirita,tirita,tirita,NC,tirita,t i ' 4 i . t a ,tirita,t i ' 4 i . t a ,tirita,t i ' 4 i . t a ,tirita,t i ' 4 i . t a ,tirita,ti'4i.ta,tirita,ti'4i.ta
1,tiritando,1,tiritando,tiritar,tiritar,VMG,tiritar,t i . 4 i ' t a 4 ,tiritando,t i . 4 i ' t a n_d . d o ,tiritar,t i . 4 i ' t a 4 ,tiritando,t i . 4 i ' t a n . d o ,tiritar,ti.4i'ta4,tiritando,ti.4i'tan.do
1.3,tiro,2,tiro,tiro,tiro,NC,tiro,' t i . 4 o ,tiro,' t i . 4 o ,tiro,' t i . 4 o ,tiro,' t i . 4 o ,tiro,'ti.4o,tiro,'ti.4o
1.3,tiró,2,tiró,tirar,tirar,VMI,tirar,t i ' 4 a 4 ,tiró,t i ' 4 o ,tirar,t i ' 4 a 4 ,tiró,t i ' 4 o ,tirar,ti'4a4,tiró,ti'4o
1,Tirolina,1,tirolina,tirolina,tirolina,NP,tirolina,t i . 4 o ' l i . n a ,Tirolina,t i . 4 o ' l i . n a ,tirolina,t i . 4 o ' l i . n a ,Tirolina,t i . 4 o ' l i . n a ,tirolina,ti.4o'li.na,Tirolina,ti.4o'li.na
2.23,titula,17,titula,titular,titular,VMI,titular,t i . t u ' l a 4 ,titula,t i ' t u . l a ,titular,t i . t u ' l a 4 ,titula,t i ' t u . l a ,titular,ti.tu'la4,titula,ti'tu.la
1.6,título,4,título,título,título,NC,título,' t i . t u . l o ,título,' t i . t u . l o ,título,' t i . t u . l o ,título,' t i . t u . l o ,título,'ti.tu.lo,título,'ti.tu.lo
1,títulos,1,títulos,título,título,NC,título,' t i . t u . l o ,títulos,' t i . t u . l o s ,título,' t i . t u . l o ,títulos,' t i . t u . l o s ,título,'ti.tu.lo,títulos,'ti.tu.los
1,toalla,1,toalla,toalla,toalla,NC,toalla,t o ' a . j\\ a ,toalla,t o ' a . j\\ a ,toalla,t o ' a . L a ,toalla,t o ' a . L a ,toalla,to'a.La,toalla,to'a.La
2.04,Tobi,11,tobi,tobi,tobi,NP,tobi,' t o . B_o i ,Tobi,' t o . B_o i ,tobi,' t o . b i ,Tobi,' t o . b i ,tobi,'to.bi,Tobi,'to.bi
1,tobillos,1,tobillos,tobillo,tobillo,NC,tobillo,t o ' B_o i . j\\ o ,tobillos,t o ' B_o i . j\\ o s ,tobillo,t o ' b i . L o ,tobillos,t o ' b i . L o s ,tobillo,to'bi.Lo,tobillos,to'bi.Los
3.54,tobogán,347,tobogán,tobogán,tobogán,NC,tobogán,t o . B_o o ' G_o a n ,tobogán,t o . B_o o ' G_o a n ,tobogán,t o . b o ' g a n ,tobogán,t o . b o ' g a n ,tobogán,to.bo'gan,tobogán,to.bo'gan
2,toboganes,10,toboganes,tobogán,tobogán,NC,tobogán,t o . B_o o ' G_o a n ,toboganes,t o . B_o o ' G_o a . n e s ,tobogán,t o . b o ' g a n ,toboganes,t o . b o ' g a . n e s ,tobogán,to.bo'gan,toboganes,to.bo'ga.nes
2.79,toca,62,toca,tocar,tocar,VMI,tocar,t o ' k a 4 ,toca,' t o . k a ,tocar,t o ' k a 4 ,toca,' t o . k a ,tocar,to'ka4,toca,'to.ka
1.7,tocaba,5,tocaba,tocar,tocar,VMI,tocar,t o ' k a 4 ,tocaba,t o ' k a . B_o a ,tocar,t o ' k a 4 ,tocaba,t o ' k a . b a ,tocar,to'ka4,tocaba,to'ka.ba
1.7,tocado,5,tocado,tocar,tocar,VMP,tocar,t o ' k a 4 ,tocado,t o ' k a . D_o o ,tocar,t o ' k a 4 ,tocado,t o ' k a . d o ,tocar,to'ka4,tocado,to'ka.do
1,tocamos,1,tocamos,tocar,tocar,VMI,tocar,t o ' k a 4 ,tocamos,t o ' k a . m o s ,tocar,t o ' k a 4 ,tocamos,t o ' k a . m o s ,tocar,to'ka4,tocamos,to'ka.mos
1.9,tocan,8,tocan,tocar,tocar,VMI,tocar,t o ' k a 4 ,tocan,' t o . k a n ,tocar,t o ' k a 4 ,tocan,' t o . k a n ,tocar,to'ka4,tocan,'to.kan
2.23,tocando,17,tocando,tocar,tocar,VMG,tocar,t o ' k a 4 ,tocando,t o ' k a n_d . d o ,tocar,t o ' k a 4 ,tocando,t o ' k a n . d o ,tocar,to'ka4,tocando,to'kan.do
2.34,tocar,22,tocar,tocar,tocar,VMN,tocar,t o ' k a 4 ,tocar,t o ' k a 4 ,tocar,t o ' k a 4 ,tocar,t o ' k a 4 ,tocar,to'ka4,tocar,to'ka4
1,tocará,1,tocará,tocar,tocar,VMI,tocar,t o ' k a 4 ,tocará,t o . k a ' 4 a ,tocar,t o ' k a 4 ,tocará,t o . k a ' 4 a ,tocar,to'ka4,tocará,to.ka'4a
1.85,tocas,7,tocas,toca,toca,NC,toca,' t o . k a ,tocas,' t o . k a s ,toca,' t o . k a ,tocas,' t o . k a s ,toca,'to.ka,tocas,'to.kas
2.04,toco,11,toco,tocar,tocar,VMI,tocar,t o ' k a 4 ,toco,' t o . k o ,tocar,t o ' k a 4 ,toco,' t o . k o ,tocar,to'ka4,toco,'to.ko
2.82,toda,66,toda,todo,todo,DI,todo,' t o . D_o o ,toda,' t o . D_o a ,todo,' t o . d o ,toda,' t o . d a ,todo,'to.do,toda,'to.da
2.93,todas,85,todas,todo,todo,DI,todo,' t o . D_o o ,todas,' t o . D_o a s ,todo,' t o . d o ,todas,' t o . d a s ,todo,'to.do,todas,'to.das
2.83,todavía,67,todavía,todavía,todavía,RG,todavía,t o . D_o a ' B_o i a ,todavía,t o . D_o a ' B_o i a ,todavía,t o . d a ' b i a ,todavía,t o . d a ' b i a ,todavía,to.da'bia,todavía,to.da'bia
3.57,todo,373,todo,todo,todo,DI,todo,' t o . D_o o ,todo,' t o . D_o o ,todo,' t o . d o ,todo,' t o . d o ,todo,'to.do,todo,'to.do
3.84,todos,696,todos,todo,todo,DI,todo,' t o . D_o o ,todos,' t o . D_o o s ,todo,' t o . d o ,todos,' t o . d o s ,todo,'to.do,todos,'to.dos
1,Togotón,1,togotón,togotón,togotón,NP,togotón,t o . G_o o ' t o n ,Togotón,t o . G_o o ' t o n ,togotón,t o . g o ' t o n ,Togotón,t o . g o ' t o n ,togotón,to.go'ton,Togotón,to.go'ton
1.6,Toisarás,4,toisarás,toisarás,toisarás,NP,toisarás,t o i_^ . s a ' 4 a s ,Toisarás,t o i_^ . s a ' 4 a s ,toisarás,t o i . s a ' 4 a s ,Toisarás,t o i . s a ' 4 a s ,toisarás,toi.sa'4as,Toisarás,toi.sa'4as
1.95,Tom,9,tom,tom,tom,NP,tom,' t o n ,Tom,' t o n ,tom,' t o n ,Tom,' t o n ,tom,'ton,Tom,'ton
3.02,toma,105,toma,toma,toma,NC,toma,' t o . m a ,toma,' t o . m a ,toma,' t o . m a ,toma,' t o . m a ,toma,'to.ma,toma,'to.ma
1,tomad,1,tomad,tomar,tomar,VMM,tomar,t o ' m a 4 ,tomad,t o ' m a D ,tomar,t o ' m a 4 ,tomad,t o ' m a d ,tomar,to'ma4,tomad,to'mad
2.18,tomado,15,tomado,tomar,tomar,VMP,tomar,t o ' m a 4 ,tomado,t o ' m a . D_o o ,tomar,t o ' m a 4 ,tomado,t o ' m a . d o ,tomar,to'ma4,tomado,to'ma.do
1,tómalo,1,tómalo,tomar+lo,tomar,VMM+PP,tomar,t o ' m a 4 ,tómalo,' t o . m a . l o ,tomar,t o ' m a 4 ,tómalo,' t o . m a . l o ,tomar,to'ma4,tómalo,'to.ma.lo
1.7,toman,5,toman,tomar,tomar,VMI,tomar,t o ' m a 4 ,toman,' t o . m ~a n ,tomar,t o ' m a 4 ,toman,' t o . m a n ,tomar,to'ma4,toman,'to.man
1.95,tomando,9,tomando,tomar,tomar,VMG,tomar,t o ' m a 4 ,tomando,t o ' m ~a n_d . d o ,tomar,t o ' m a 4 ,tomando,t o ' m a n . d o ,tomar,to'ma4,tomando,to'man.do
1,tomándome,1,tomándome,tomar+me,tomar,VMG+PP,tomar,t o ' m a 4 ,tomándome,t o ' m ~a n_d . d o . m e ,tomar,t o ' m a 4 ,tomándome,t o ' m a n . d o . m e ,tomar,to'ma4,tomándome,to'man.do.me
2.26,tomar,18,tomar,tomar,tomar,VMN,tomar,t o ' m a 4 ,tomar,t o ' m a 4 ,tomar,t o ' m a 4 ,tomar,t o ' m a 4 ,tomar,to'ma4,tomar,to'ma4
1,tomará,1,tomará,tomar,tomar,VMI,tomar,t o ' m a 4 ,tomará,t o . m a ' 4 a ,tomar,t o ' m a 4 ,tomará,t o . m a ' 4 a ,tomar,to'ma4,tomará,to.ma'4a
1.7,tomas,5,tomas,toma,toma,NC,toma,' t o . m a ,tomas,' t o . m a s ,toma,' t o . m a ,tomas,' t o . m a s ,toma,'to.ma,tomas,'to.mas
1,tomaste,1,tomaste,tomar,tomar,VMI,tomar,t o ' m a 4 ,tomaste,t o ' m a s . t e ,tomar,t o ' m a 4 ,tomaste,t o ' m a s . t e ,tomar,to'ma4,tomaste,to'mas.te
2.08,tomate,12,tomate,tomate,tomate,NC,tomate,t o ' m a . t e ,tomate,t o ' m a . t e ,tomate,t o ' m a . t e ,tomate,t o ' m a . t e ,tomate,to'ma.te,tomate,to'ma.te
1,tomatito,1,tomatito,tomate,tomate,NC,tomate,t o ' m a . t e ,tomatito,t o . m a ' t i . t o ,tomate,t o ' m a . t e ,tomatito,t o . m a ' t i . t o ,tomate,to'ma.te,tomatito,to.ma'ti.to
1,tome,1,tome,tomar,tomar,VMS,tomar,t o ' m a 4 ,tome,' t o . m e ,tomar,t o ' m a 4 ,tome,' t o . m e ,tomar,to'ma4,tome,'to.me
1.6,tomen,4,tomen,tomar,tomar,VMS,tomar,t o ' m a 4 ,tomen,' t o . m ~e n ,tomar,t o ' m a 4 ,tomen,' t o . m e n ,tomar,to'ma4,tomen,'to.men
1,tomes,1,tomes,tomar,tomar,VMS,tomar,t o ' m a 4 ,tomes,' t o . m e s ,tomar,t o ' m a 4 ,tomes,' t o . m e s ,tomar,to'ma4,tomes,'to.mes
1,Tomi,1,tomi,tomi,tomi,NP,tomi,' t o . m i ,Tomi,' t o . m i ,tomi,' t o . m i ,Tomi,' t o . m i ,tomi,'to.mi,Tomi,'to.mi
1,Tongo,1,tongo,tongo,tongo,NC,tongo,' t o n_g . g o ,Tongo,' t o n_g . g o ,tongo,' t o n . g o ,Tongo,' t o n . g o ,tongo,'ton.go,Tongo,'ton.go
1,Toño,1,toño,toño,toño,NP,toño,' t o . J o ,Toño,' t o . J o ,toño,' t o . J o ,Toño,' t o . J o ,toño,'to.Jo,Toño,'to.Jo
1.3,tonta,2,tonta,tonto,tonto,AQ,tonto,' t o n_d . t o ,tonta,' t o n_d . t a ,tonto,' t o n . t o ,tonta,' t o n . t a ,tonto,'ton.to,tonta,'ton.ta
1,tontería,1,tontería,tontería,tontería,NC,tontería,t o n_d . t e ' 4 i a ,tontería,t o n_d . t e ' 4 i a ,tontería,t o n . t e ' 4 i a ,tontería,t o n . t e ' 4 i a ,tontería,ton.te'4ia,tontería,ton.te'4ia
1.78,tonterías,6,tonterías,tontería,tontería,NC,tontería,t o n_d . t e ' 4 i a ,tonterías,t o n_d . t e ' 4 i a s ,tontería,t o n . t e ' 4 i a ,tonterías,t o n . t e ' 4 i a s ,tontería,ton.te'4ia,tonterías,ton.te'4ias
1,tontica,1,tontica,tonto,tonto,AQ,tonto,' t o n_d . t o ,tontica,t o n_d ' t i . k a ,tonto,' t o n . t o ,tontica,t o n ' t i . k a ,tonto,'ton.to,tontica,ton'ti.ka
1,tontico,1,tontico,tonto,tonto,AQ,tonto,' t o n_d . t o ,tontico,t o n_d ' t i . k o ,tonto,' t o n . t o ,tontico,t o n ' t i . k o ,tonto,'ton.to,tontico,ton'ti.ko
1.6,tonto,4,tonto,tonto,tonto,NC,tonto,' t o n_d . t o ,tonto,' t o n_d . t o ,tonto,' t o n . t o ,tonto,' t o n . t o ,tonto,'ton.to,tonto,'ton.to
1,tontorrón,1,tontorrón,tontorrón,tontorrón,AQ,tontorrón,t o n_d . t o ' r o n ,tontorrón,t o n_d . t o ' r o n ,tontorrón,t o n . t o ' r o n ,tontorrón,t o n . t o ' r o n ,tontorrón,ton.to'ron,tontorrón,ton.to'ron
1.9,topete,8,topete,topetar,topetar,VMS,topetar,t o . p e ' t a 4 ,topete,t o ' p e . t e ,topetar,t o . p e ' t a 4 ,topete,t o ' p e . t e ,topetar,to.pe'ta4,topete,to'pe.te
1,toquéis,1,toquéis,tocar,tocar,VMS,tocar,t o ' k a 4 ,toquéis,t o ' k e i_^ s ,tocar,t o ' k a 4 ,toquéis,t o ' k e i s ,tocar,to'ka4,toquéis,to'keis
2.11,toques,13,toques,toque,toque,NC,toque,' t o . k e ,toques,' t o . k e s ,toque,' t o . k e ,toques,' t o . k e s ,toque,'to.ke,toques,'to.kes
1.48,torcida,3,torcida,torcer,torcer,VMP,torcer,t o 4 ' T e 4 ,torcida,t o 4 ' T i . D_o a ,torcer,t o 4 ' T e 4 ,torcida,t o 4 ' T i . d a ,torcer,to4'Te4,torcida,to4'Ti.da
1.78,torcido,6,torcido,torcer,torcer,VMP,torcer,t o 4 ' T e 4 ,torcido,t o 4 ' T i . D_o o ,torcer,t o 4 ' T e 4 ,torcido,t o 4 ' T i . d o ,torcer,to4'Te4,torcido,to4'Ti.do
1.48,torico,3,torico,toro,toro,NC,toro,' t o . 4 o ,torico,t o ' 4 i . k o ,toro,' t o . 4 o ,torico,t o ' 4 i . k o ,toro,'to.4o,torico,to'4i.ko
1.6,torito,4,torito,torio,torio,NC,torio,' t o . 4 j o ,torito,t o ' 4 i . t o ,torio,' t o . 4 j o ,torito,t o ' 4 i . t o ,torio,'to.4jo,torito,to'4i.to
1.7,tormenta,5,tormenta,tormenta,tormenta,NC,tormenta,t o 4 ' m ~e n_d . t a ,tormenta,t o 4 ' m ~e n_d . t a ,tormenta,t o 4 ' m e n . t a ,tormenta,t o 4 ' m e n . t a ,tormenta,to4'men.ta,tormenta,to4'men.ta
2.4,toro,25,toro,toro,toro,NC,toro,' t o . 4 o ,toro,' t o . 4 o ,toro,' t o . 4 o ,toro,' t o . 4 o ,toro,'to.4o,toro,'to.4o
1.48,toros,3,toros,toro,toro,NC,toro,' t o . 4 o ,toros,' t o . 4 o s ,toro,' t o . 4 o ,toros,' t o . 4 o s ,toro,'to.4o,toros,'to.4os
1.85,torpe,7,torpe,torpe,torpe,AQ,torpe,' t o 4 . p e ,torpe,' t o 4 . p e ,torpe,' t o 4 . p e ,torpe,' t o 4 . p e ,torpe,'to4.pe,torpe,'to4.pe
1.3,torpes,2,torpes,torpe,torpe,AQ,torpe,' t o 4 . p e ,torpes,' t o 4 . p e s ,torpe,' t o 4 . p e ,torpes,' t o 4 . p e s ,torpe,'to4.pe,torpes,'to4.pes
1.6,torre,4,torre,torre,torre,NC,torre,' t o . r e ,torre,' t o . r e ,torre,' t o . r e ,torre,' t o . r e ,torre,'to.re,torre,'to.re
1,torta,1,torta,torta,torta,NC,torta,' t o 4 . t a ,torta,' t o 4 . t a ,torta,' t o 4 . t a ,torta,' t o 4 . t a ,torta,'to4.ta,torta,'to4.ta
1,tortazo,1,tortazo,tortazo,tortazo,NC,tortazo,t o 4 ' t a . T o ,tortazo,t o 4 ' t a . T o ,tortazo,t o 4 ' t a . T o ,tortazo,t o 4 ' t a . T o ,tortazo,to4'ta.To,tortazo,to4'ta.To
2.04,tortilla,11,tortilla,tortilla,tortilla,NC,tortilla,t o 4 ' t i . j\\ a ,tortilla,t o 4 ' t i . j\\ a ,tortilla,t o 4 ' t i . L a ,tortilla,t o 4 ' t i . L a ,tortilla,to4'ti.La,tortilla,to4'ti.La
1.3,tortillas,2,tortillas,tortilla,tortilla,NC,tortilla,t o 4 ' t i . j\\ a ,tortillas,t o 4 ' t i . j\\ a s ,tortilla,t o 4 ' t i . L a ,tortillas,t o 4 ' t i . L a s ,tortilla,to4'ti.La,tortillas,to4'ti.Las
1.3,tortuga,2,tortuga,tortuga,tortuga,NC,tortuga,t o 4 ' t u . G_o a ,tortuga,t o 4 ' t u . G_o a ,tortuga,t o 4 ' t u . g a ,tortuga,t o 4 ' t u . g a ,tortuga,to4'tu.ga,tortuga,to4'tu.ga
1.6,tos,4,tos,tos,tos,NC,tos,' t o s ,tos,' t o s ,tos,' t o s ,tos,' t o s ,tos,'tos,tos,'tos
1,tose,1,tose,toser,toser,VMI,toser,t o ' s e 4 ,tose,' t o . s e ,toser,t o ' s e 4 ,tose,' t o . s e ,toser,to'se4,tose,'to.se
1,tostada,1,tostada,tostar,tostar,VMP,tostar,t o s ' t a 4 ,tostada,t o s ' t a . D_o a ,tostar,t o s ' t a 4 ,tostada,t o s ' t a . d a ,tostar,tos'ta4,tostada,tos'ta.da
1.3,tostadas,2,tostadas,tostar,tostar,VMP,tostar,t o s ' t a 4 ,tostadas,t o s ' t a . D_o a s ,tostar,t o s ' t a 4 ,tostadas,t o s ' t a . d a s ,tostar,tos'ta4,tostadas,tos'ta.das
1.7,total,5,total,total,total,AQ,total,t o ' t a l ,total,t o ' t a l ,total,t o ' t a l ,total,t o ' t a l ,total,to'tal,total,to'tal
1.3,Toysarás,2,toysarás,toysarás,toysarás,NP,toysarás,t o i_^ . s a ' 4 a s ,Toysarás,t o i_^ . s a ' 4 a s ,toysarás,t o i . s a ' 4 a s ,Toysarás,t o i . s a ' 4 a s ,toysarás,toi.sa'4as,Toysarás,toi.sa'4as
1.7,trabaja,5,trabaja,trabajar,trabajar,VMI,trabajar,t 4 a . B_o a ' x a 4 ,trabaja,t 4 a ' B_o a . x a ,trabajar,t 4 a . b a ' x a 4 ,trabaja,t 4 a ' b a . x a ,trabajar,t4a.ba'xa4,trabaja,t4a'ba.xa
